Region;United States;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
M 75 to 79 years;4420293;70083;7818;126043;44137;460577;65879;50174;16052;6967;419381;119942;26570;27264;156375;83671;42717;37208;58310;56998;24015;73682;91601;143767;69571;38591;84992;18216;24843;48613;20676;116794;30857;265862;143354;9103;153904;53028;63078;189798;15044;79615;13091;96153;304851;30787;10356;110938;99082;30413;81623;7829
M 80 to 84 years;2695951;42140;3808;73150;25976;294746;40631;30161;9547;3081;253922;69864;12671;15000;105645;50893;27049;24933;35353;35594;13524;48371;55548;84292;49612;23206;52351;11531;14557;23892;12617;75991;21449;162774;83354;6149;99229;29728;37748;114668;7983;43851;7051;53720;185357;18786;6203;65433;57799;18805;50849;5359
M 85 years and over;2170982;27482;3151;51514;18413;255648;33449;29491;7088;3532;213528;51690;11343;12544;78734;41717;25052;18828;26624;25895;11472;38399;48777;69454;41937;13710;42660;7894;13995;18447;9959;65170;15077;146064;56197;5791;80013;23046;30807;100736;9152;29613;5211;39659;132793;16658;5485;51474;48694;12164;40819;3932
Female:;167543040;2593981;349552;3646696;1532210;19618902;2869032;1837552;517476;351025;11066608;5529422;715949;946610;6407105;3431054;1589812;1459972;2280066;2363181;698764;3162038;3576471;5073942;2846722;1514542;3123006;543360;977673;1558784;695758;4703570;1063522;10139340;5401839;375404;5971442;2001932;2124623;6564424;559021;2669016;443426;3562037;14788930;1643205;325277;4368343;3841372;895599;2940659;282796
F Under 5 years;9108800;140609;21588;199056;88494;1080880;149476;87404;25673;19927;533370;301728;39404;55829;341720;200330;90036;85116;125246;140488;29747;174431;170886;268152;160738;81344;173154;26817;61309;87508;30904;251909;56233;533171;285054;24791;326640;115474;102701;331313;25653;134769;28784;194661;924211;112757;13114;235865;210082;43100;152862;14292
F 5 to 9 years;9726157;143754;26444;214130;92647;1148408;164967;98384;28074;19577;561608;328293;40047;60667;383328;207033;96614;91880;134440;145091;36693;179602;181910;280914;174367;87942;178959;32113;62785;90641;32569;267497;63781;535396;306079;24793;343714;127985;110798;352924;28421;149390;31561;207222;996336;126944;13871;251828;227007;48437;169925;18367
F 10 to 14 years;10666109;169381;24891;237487;100929;1290704;179593;101824;30511;14962;627760;375779;44279;71766;398070;228183;106478;102207;146870;156550;33224;194650;192653;311759;190646;106686;202570;33600;69808;103259;37783;292410;69148;585330;334554;24859;373464;137859;129154;388751;28647;164719;29995;218830;1087144;135076;19018;266201;241222;52466;182771;19629
F 15 to 17 years;6313686;95695;13495;140597;58545;757308;111373;68984;19661;7323;367636;220044;22624;41296;243796;135578;61021;58290;88612;88971;22959;115464;120781;190527;112490;58672;116519;20377;38955;58533;23140;173207;42254;347213;198432;14429;225437;82733;70869;229459;18148;99064;17689;133149;634942;80203;10537;162076;138937;32050;112241;11351
F 18 and 19 years;4339246;74402;8887;95097;40956;507369;72935;51729;13639;11231;238687;158098;13427;26670;163487;92838;44829;42223;64350;59849;14355;77311;109505;129151;69935;44515;81434;14406;26448;31795;17625;103879;30409;248403;147941;13240;152217;53401;49819;170447;18616;73614;13498;89873;399864;51315;9676;121244;88328;20656;77181;8442
F 20 years;2165842;37811;4553;43679;20282;258631;32298;23057;7220;5288;124533;74806;7602;11344;74963;48337;25842;21178;26366;33813;8985;35544;50948;70998;37067;19419;36340;7180;11721;19926;9901;50749;12451;129638;71437;5442;79254;30956;25999;85854;9874;33636;6155;50385;194856;26557;4626;56218;45604;13299;40716;2504
